_id,AnoReferencia,NomeMunicipio,NomeUnidadeEscolar,MatriculasTotal,MatriculaInicial,MatriculaAposCenso,Transferidos,Cancelados,Falecido,Abandono,Aprovados,Reprovados,Cursando,OutrasSituacoes
1,2026,Camapua,CEEP MARCIO ELIAS NERY,184,184,0,6,8,0,0,0,0,170,0
2,2026,Campo Grande,CEI - JOSÉ EDUARDO MARTINS JALLAD - ZEDU,393,393,0,4,1,0,0,0,0,388,0
3,2026,Aquidauana,CENTRO DE EDUCAÇÃO PROFISSIONAL DE AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA,351,351,0,11,9,0,0,0,0,331,0
4,2026,Campo Grande,CENTRO DE EDUCAÇÃO PROFISSIONAL EZEQUIEL FERREIRA LIMA,188,188,0,13,8,1,0,0,0,165,1
5,2026,Aquidauana,CENTRO DE EDUCAÇÃO PROFISSIONAL GERALDO AFONSO GARCIA FERREIRA - EXTENSÃO SALA ADA MOREIRA DE BARROS,41,41,0,1,0,0,0,0,0,40,0
6,2026,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DE JOVENS E ADULTOS DE DOURADOS - CEEJA/MS,223,223,0,0,0,0,0,0,0,223,0
7,2026,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DE JOVENS E ADULTOS DE DOURADOS-CEEJA MS -EXTENSÃO PENITENCIÁRIA ESTADUAL DE DOURADOS,413,413,0,23,0,0,0,0,0,357,33
8,2026,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DE JOVENS E ADULTOS DE DOURADOS-CEEJA MS -EXTENSÃO UNEI LARANJA DOCE,37,37,0,2,0,0,0,0,0,30,5
9,2026,Chapadao do Sul,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL ARLINDO NECKEL,341,341,0,15,9,0,0,0,0,316,1
10,2026,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL HÉRCULES MAYMONE,1380,1380,0,11,47,0,0,0,0,1315,7
11,2026,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PE.JOÃO GREINER,574,574,0,47,26,0,0,0,0,501,0
12,2026,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PROFª MARIA DE LOURDES WIDAL ROMA,1027,1027,0,44,13,0,0,0,0,969,1
13,2026,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PROFª MARIA DE LOURDES WIDAL ROMA- EXTENSÃO AGRICOLA GOV.ARNALDO ESTEVÃO DE FIGUEIREDO,121,121,0,3,1,0,0,0,0,117,0
14,2026,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PROFESSORA EVANILDE COSTA DA SILVA,48,48,0,1,0,0,0,0,0,47,0
15,2026,Campo Grande,CENTRO ESTADUAL DE FORMAÇÃO DE PROFESSORES INDÍGENAS DE MATO GROSSO DO SUL - EXTENSÃO ELISEU LILI,26,26,0,0,0,0,0,0,0,26,0
16,2026,Campo Grande,EE 11 DE OUTUBRO,1038,1038,0,36,11,0,0,0,0,988,3
17,2026,Deodapolis,EE 13 DE MAIO,726,726,0,31,2,0,0,0,0,693,0
18,2026,Eldorado,EE 13 DE MAIO,268,268,0,20,1,0,0,0,0,247,0
19,2026,Sete Quedas,EE 13 DE MAIO,577,577,0,21,3,0,0,0,0,553,0
20,2026,Ladario,EE 2 DE SETEMBRO,260,260,0,11,0,0,0,0,0,249,0
21,2026,Campo Grande,EE 26 DE AGOSTO,193,193,0,13,11,0,0,0,0,166,3
22,2026,Juti,EE 31 DE MARÇO,750,750,0,27,5,0,0,0,0,717,1
23,2026,Sete Quedas,EE 4 DE ABRIL,192,192,0,21,0,0,0,0,0,171,0
24,2026,Iguatemi,EE 8 DE MAIO,921,921,0,30,5,0,0,0,0,886,0
25,2026,Iguatemi,EE 8 DE MAIO - EXTENSÃO ASSENTAMENTO NOSSA SENHORA AUXILIADORA,31,31,0,1,0,0,0,0,0,30,0
26,2026,Iguatemi,EE 8 DE MAIO - EXTENSÃO PYELITO KUÊ,22,22,0,0,0,0,0,0,0,22,0
27,2026,Dourados,EE ABIGAIL BORRALHO,421,421,0,8,12,0,0,0,0,392,9
28,2026,Ponta Pora,EE ADÊ MARQUES,415,415,0,19,0,0,0,0,0,387,9
29,2026,Brasilandia,EE ADILSON ALVES DA SILVA,715,715,0,23,3,0,0,0,0,689,0
30,2026,Campo Grande,EE ADVENTOR DIVINO DE ALMEIDA,903,903,0,15,26,0,0,0,0,857,5
31,2026,Tres Lagoas,EE AFONSO FRANCISCO XAVIER TRANNIN,356,356,0,19,14,0,0,0,0,317,6
32,2026,Tres Lagoas,EE AFONSO PENA,1120,1120,0,48,43,0,0,0,0,1027,2
33,2026,Laguna Carapa,EE ÁLVARO MARTINS DOS SANTOS,401,401,0,6,0,0,0,0,0,395,0
34,2026,Laguna Carapa,EE ÁLVARO MARTINS DOS SANTOS - EXTENSÃO ALDEIA RANCHO DO JACARÉ,71,71,0,0,0,0,0,0,0,71,0
35,2026,Guia Lopes da Laguna,EE ALZIRO LOPES,702,702,0,27,3,0,0,0,0,670,2
36,2026,Campo Grande,EE AMANDO DE OLIVEIRA,475,475,0,25,6,0,0,0,0,442,2
37,2026,Campo Grande,EE AMÉLIO DE CARVALHO BAÍS,307,307,0,16,8,0,0,0,0,280,3
38,2026,Selviria,EE ANA MARIA DE SOUZA,507,507,0,17,5,0,0,0,0,483,2
39,2026,Selviria,EE ANA MARIA DE SOUZA-EXTENSÃO ASSENTAMENTO SÃO JOAQUIM,114,114,0,4,2,0,0,0,0,108,0
40,2026,Ivinhema,EE ANGELINA JAIME TEBET,612,612,0,40,8,0,0,0,0,562,2
41,2026,Ivinhema,EE ANGELINA JAIME TEBET - EXTENSÃO ESTAB. PENAL MASCULINO DE REGIME FECHADO,27,27,0,1,5,0,0,0,0,19,2
42,2026,Dourados,EE ANTÔNIA DA SILVEIRA CAPILÉ,375,375,0,18,8,0,0,0,0,336,13
43,2026,Nova Alvorada do Sul,EE ANTÔNIO COELHO,404,404,0,4,10,0,0,0,0,389,1
44,2026,Campo Grande,EE ANTÔNIO DELFINO PEREIRA E C. CULT. ED. TIA EVA,172,172,0,5,1,0,0,0,0,166,0
45,2026,Navirai,EE ANTÔNIO FERNANDES,315,315,0,15,0,0,0,0,0,300,0
46,2026,Itapora,EE ANTÔNIO JOÃO RIBEIRO,920,920,0,16,2,0,0,0,0,890,12
47,2026,Terenos,EE ANTÔNIO NOGUEIRA DA FONSECA,345,345,0,14,2,0,0,0,0,313,16
48,2026,Terenos,EE ANTÔNIO NOGUEIRA DA FONSECA - EXTENSÃO JAMIC,100,100,0,3,5,0,0,0,0,87,5
49,2026,Terenos,EE ANTÔNIO VALADARES,680,680,0,60,16,0,0,0,0,600,4
50,2026,Terenos,EE ANTÔNIO VALADARES - EXTENSÃO PATAGONIA,106,106,0,2,3,0,0,0,0,101,0
51,2026,Dourados,EE ANTÔNIO VICENTE AZAMBUJA,257,257,0,14,4,0,0,0,0,239,0
52,2026,Paranaiba,EE ARACILDA CÍCERO CORRÊA DA COSTA,354,354,0,28,7,0,0,0,0,318,1
53,2026,Paranaiba,EE ARACILDA CÍCERO CORRÊA DA COSTA -EXTENSÃO JOAÕ CHAVES DOS SANTOS,27,27,0,3,0,0,0,0,0,24,0
54,2026,Campo Grande,EE ARACY EUDOCIAK,436,436,0,39,1,0,0,0,0,392,4
55,2026,Antonio Joao,EE ARAL MOREIRA,481,481,0,12,7,0,0,0,0,461,1
56,2026,Caarapo,EE ARCÊNIO ROJAS,173,173,0,10,3,0,0,0,0,160,0
57,2026,Campo Grande,EE ARLINDO DE ANDRADE GOMES,903,903,0,1,38,0,0,0,0,851,13
58,2026,Campo Grande,EE ARLINDO DE SAMPAIO JORGE,228,228,0,17,21,0,0,0,0,189,1
59,2026,Chapadao do Sul,EE AUGUSTO KRUG NETTO,199,199,0,11,6,0,0,0,0,182,0
60,2026,Nova Andradina,EE AUSTRILIO CAPILÉ CASTRO,406,406,0,17,16,0,0,0,0,362,11
61,2026,Douradina,EE BARÃO DO RIO BRANCO,480,480,0,9,5,1,0,0,0,460,5
62,2026,Douradina,EE BARÃO DO RIO BRANCO -EXT.ALDEIA PANAMBI LAGOA RICA,39,39,0,0,0,0,0,0,0,39,0
63,2026,Sao Gabriel do Oeste,EE BERNARDINO FERREIRA DA CUNHA,728,728,0,19,11,0,0,0,0,694,4
64,2026,Sao Gabriel do Oeste,EE BERNARDINO FERREIRA DA CUNHA -EXTENSÃO ESTABELECIMENTO PENAL FEMININO DE SÃO GABRIEL DO OESTE,28,28,0,2,1,0,0,0,0,25,0
65,2026,Campo Grande,EE BLANCHE DOS SANTOS PEREIRA,1916,1916,0,93,36,0,0,0,0,1786,1
66,2026,Tres Lagoas,EE BOM JESUS,419,419,0,36,12,0,0,0,0,369,2
67,2026,Bonito,EE BONIFÁCIO CAMARGO GOMES,882,882,0,39,4,0,0,0,0,839,0
68,2026,Bonito,EE BONIFÁCIO CAMARGO GOMES  - EXTENSÃO DISTRITO ÁGUAS DE MIRANDA,84,84,0,1,0,0,0,0,0,82,1
69,2026,Batayporã,EE BRAZ SINIGAGLIA,541,541,0,8,1,0,0,0,0,532,0
70,2026,Miranda,EE CAETANO PINTO,698,698,0,28,11,0,0,0,0,656,3
71,2026,Maracaju,EE CAMBARAI,895,895,0,19,17,0,0,0,0,854,5
72,2026,Camapua,EE CAMILO BONFIM,397,397,0,24,1,0,0,0,0,372,0
73,2026,Aquidauana,EE CÂNDIDO MARIANO,359,359,0,37,1,0,0,0,0,321,0
74,2026,Corumba,EE CARLOS DE CASTRO BRASIL,214,214,0,16,2,0,0,0,0,195,1
75,2026,Corumba,EE CARLOS DE CASTRO BRASIL -EXTENSÃO ESTAB. PENAL FEMININO CARLOS ALBERTO JONAS GIORDANO,69,69,0,1,25,0,0,0,0,43,0
76,2026,Corumba,EE CARLOS DE CASTRO BRASIL- EXTENSÃO ESTABELECIMENTO PENAL MASCULINO DE CORUMBÁ,94,94,0,0,6,0,0,0,0,88,0
77,2026,Corumba,EE CARLOS DE CASTRO BRASIL -EXTENSÃO UNIDADE EDUCACIONAL DE INTERNAÇÃO -UNEI PANTANAL,17,17,0,0,2,0,0,0,0,15,0
78,2026,Anastacio,EE CARLOS DRUMMOND DE ANDRADE,204,204,0,14,8,0,0,0,0,182,0
79,2026,Miranda,EE CARMELITA CANALE REBUÁ,441,441,0,9,9,0,0,0,0,421,2
80,2026,Bela Vista,EE CASTELO BRANCO,797,797,0,21,7,0,0,0,0,768,1
81,2026,Mundo Novo,EE CASTELO BRANCO,1094,1094,0,23,18,0,0,0,0,1051,2
82,2026,Dourados,EE CASTRO ALVES,701,701,0,35,7,0,0,0,0,633,26
83,2026,Amambai,EE CEL. FELIPE DE BRUM,729,729,0,35,4,0,0,0,0,690,0
84,2026,Aquidauana,EE CEL. JOSÉ ALVES RIBEIRO,914,914,0,44,21,0,0,0,0,849,0
85,2026,Jardim,EE CEL. JUVÊNCIO,598,598,0,20,9,0,0,0,0,569,0
86,2026,Jardim,EE CEL. PEDRO JOSÉ RUFINO,976,976,0,41,15,1,0,0,0,918,1
87,2026,Coronel Sapucaia,EE CEL. SAPUCAIA,515,515,0,16,2,0,0,0,0,497,0
88,2026,Coronel Sapucaia,EE CEL. SAPUCAIA - EXTENSÃO SALA ÑANDE REKO ARANDU - ALDEIA TAQUAPERY,91,91,0,0,0,0,0,0,0,91,0
89,2026,Água Clara,EE CHICO MENDES,287,287,0,12,9,0,0,0,0,265,1
90,2026,Maracaju,EE CÍVICO-MILITAR CORONEL LIMA DE FIGUEIREDO,377,377,0,18,11,1,0,0,0,347,0
91,2026,Campo Grande,EE CÍVICO-MILITAR MARÇAL DE SOUZA TUPÃ-Y,582,582,0,21,17,0,0,0,0,520,24
92,2026,Anastacio,EE CÍVICO-MILITAR MARIA CORRÊA DIAS,445,445,0,8,20,0,0,0,0,415,2
93,2026,Campo Grande,EE CÍVICO-MILITAR PROF. ALBERTO ELPÍDIO FERREIRA DIAS (PROF.TITO),424,424,0,11,2,0,0,0,0,410,1
94,2026,Sonora,EE COMANDANTE MAURÍCIO COUTINHO DUTRA,738,738,0,10,6,0,0,0,0,722,0
95,2026,Campo Grande,EE CORAÇÃO DE MARIA,484,484,0,22,9,0,0,0,0,449,4
96,2026,Ponta Pora,EE CORONEL RAMIRO NORONHA,838,838,0,56,7,0,0,0,0,767,8
97,2026,Brasilandia,EE DEBRASA,68,68,0,5,1,0,0,0,0,62,0
98,2026,Brasilandia,EE DEBRASA - EXTENSÃO PROJETO AGROVILA ASSENTAMENTO MUTUM,10,10,0,0,0,0,0,0,0,9,1
99,2026,Brasilandia,EE DEBRASA - EXTENSÃO SALA MUTUM,21,21,0,4,0,0,0,0,0,17,0
100,2026,Nova Alvorada do Sul,EE DELFINA NOGUEIRA DE SOUZA,1393,1393,0,28,28,0,0,0,0,1335,2
101,2026,Nova Alvorada do Sul,EE DELFINA NOGUEIRA DE SOUZA - EXTENSÃO SALA COMENDADOR LUIZ MENEGHEL ASSENTAMENTO PANA,85,85,0,1,1,0,0,0,0,83,0
102,2026,Anastacio,EE DEP. CARLOS SOUZA MEDEIROS,440,440,0,22,6,0,0,0,0,412,0
103,2026,Ponta Pora,EE DEP. FERNANDO C. CAPIBERIBE SALDANHA,1067,1067,0,22,31,2,0,0,0,1007,5
104,2026,Campo Grande,EE DOLOR FERREIRA DE ANDRADE,1391,1391,0,36,17,0,0,0,0,1336,2
105,2026,Amambai,EE DOM AQUINO CORRÊA,796,796,0,29,2,0,0,0,0,762,3
106,2026,Tres Lagoas,EE DOM AQUINO CORRÊA,1878,1878,0,47,43,0,0,0,0,1786,2
107,2026,Tres Lagoas,EE DOM AQUINO CORRÊA - EXTENSÃO COLÔNIA PENAL INDUSTRIAL PARACELSO DE LIMA VIEIRA JESUS DE TRÊS LAGOAS,84,84,0,0,5,0,0,0,0,79,0
108,2026,Tres Lagoas,EE DOM AQUINO CORRÊA - EXTENSÃO ESTABELECIMENTO PENAL FEMININO DE TRÊS LAGOAS,46,46,0,0,0,0,0,0,0,46,0
109,2026,Tres Lagoas,EE DOM AQUINO CORRÊA - EXTENSÃO ESTABELECIMENTO PENAL MASCULINO DE TRÊS LAGOAS,77,77,0,0,0,0,0,0,0,77,0
110,2026,Tres Lagoas,EE DOM AQUINO CORRÊA - EXTENSÃO UNIDADE EDUCACIONAL DE INTERNAÇÃO -UNEI AURORA GONÇALVES COIMBRA,14,14,0,0,1,0,0,0,0,13,0
111,2026,Amambai,EE DOM AQUINO CORRÊA -EXTENSÃO ESTABELECIMENTO PENAL MASCULINO DE AMAMBAI,60,60,0,4,12,0,0,0,0,44,0
112,2026,Corumba,EE DOM BOSCO,1594,1594,0,48,40,0,0,0,0,1487,19
113,2026,Campo Grande,EE DONA CONSUELO MULLER,382,382,0,26,16,0,0,0,0,334,6
114,2026,Miranda,EE DONA ROSA PEDROSSIAN,377,377,0,18,16,0,0,0,0,342,1
115,2026,Novo Horizonte do Sul,EE DORCELINA DE OLIVEIRA FOLADOR,310,310,0,19,2,0,0,0,0,289,0
116,2026,Sao Gabriel do Oeste,EE DORCELINA FOLADOR,101,101,0,7,0,0,0,0,0,94,0
117,2026,Figueirao,EE DR. ARNALDO ESTEVÃO DE FIGUEIREDO,387,387,0,26,2,1,0,0,0,358,0
118,2026,Campo Grande,EE DR. ARTHUR DE VASCONCELLOS DIAS,366,366,0,35,6,0,0,0,0,322,3
119,2026,Paranaiba,EE DR. ERMÍRIO LEAL GARCIA,158,158,0,11,5,0,0,0,0,142,0
120,2026,Amambai,EE DR. FERNANDO CORRÊA DA COSTA,569,569,0,15,4,0,0,0,0,537,13
121,2026,Aral Moreira,EE DR. FERNANDO CORRÊA DA COSTA,790,790,0,61,4,0,0,0,0,725,0
122,2026,Corumba,EE DR. GABRIEL VANDONI DE BARROS,342,342,0,16,5,0,0,0,0,321,0
123,2026,Corumba,EE DR. JOÃO LEITE DE BARROS,512,512,0,32,2,0,0,0,0,478,0
124,2026,Corumba,EE DR. JOÃO LEITE DE BARROS - EXTENSÃO EM LUIZ DE ALBUQUERQUE MELO P. CACERES,83,83,0,2,0,0,0,0,0,81,0
125,2026,Corumba,EE DR. JOÃO LEITE DE BARROS - EXTENSÃO SALA PAIOLZINHO ASSENTAMENTO PAIOLZINHO,72,72,0,1,0,0,0,0,0,71,0
126,2026,Ribas do Rio Pardo,EE DR. JOÃO PONCE DE ARRUDA,1235,1235,0,29,74,1,0,0,0,1130,1
127,2026,Ribas do Rio Pardo,EE DR. JOÃO PONCE DE ARRUDA -EXTENSÃO USINA DO MIMOSO,19,19,0,1,0,0,0,0,0,18,0
128,2026,Bela Vista,EE DR. JOAQUIM MURTINHO,737,737,0,17,1,0,0,0,0,719,0
129,2026,Bela Vista,EE DR. JOAQUIM MURTINHO - EXTENSÃO SALA INDÍGENA PIRAKUÁ,22,22,0,0,0,0,0,0,0,22,0
130,2026,Taquarussu,EE DR. MARTINHO MARQUES,336,336,0,23,0,0,0,0,0,313,0
131,2026,Ponta Pora,EE DR. MIGUEL MARCONDES ARMANDO,1330,1330,0,73,12,0,0,0,0,1245,0
132,2026,Ponta Pora,EE DR. MIGUEL MARCONDES ARMANDO -EXTENSÃO EPM JOÃO CARLOS PINHEIRO MARQUES,100,100,0,4,2,0,0,0,0,94,0
133,2026,Ponta Pora,EE DR. MIGUEL MARCONDES ARMANDO-EXTENSÃO ESTABELECIMENTO PENAL FEMININO DE PONTA PORÃ,36,36,0,2,4,0,0,0,0,30,0
134,2026,Ponta Pora,EE DR. MIGUEL MARCONDES ARMANDO-EXTENSÃO ESTABELECIMENTO PENAL MASCULINO RICARDO BRANDÃO,69,69,0,0,14,0,0,0,0,55,0
